"Earthquake Date (UT)","Time (UT)","ID","Mag Type","Magnitude","Depth (km)","R?","Epic. Dist.(km)","PGA Vertical (mm/s/s)","PGA Horiz_1 (mm/s/s)","PGA Horiz_2 (mm/s/s)","PGA Vertical (%g)","PGA Horiz_1 (%g)","PGA Horiz_2 (%g)","Accelerogram ID","Site Code","Name","Site Latitude","Site Longitude","Site Elevation (m)"
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,27,28.0,75.0,84.1,0.2853,0.7650,0.8578,20160129_022029_MKVS_20,MKVS,"Makara Village",-41.26542095,174.70552447,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,28,12.5,19.5,15.6,0.1277,0.1987,0.1590,20160129_022029_MKBS_20,MKBS,"Makara Bunker",-41.2259,174.6981,231
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,29,34.7,79.0,54.7,0.3534,0.8057,0.5577,20160129_022029_WNKS_20,WNKS,"Wellington Karori Normal School",-41.284817534,174.742053687,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,31,22.3,37.4,33.3,0.2273,0.3816,0.3399,20160129_022029_WEL_20,WEL,"Wellington",-41.284047578,174.768184021,138
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,31,22.4,37.6,58.1,0.2281,0.3833,0.5921,20160129_022029_TRTS_20,TRTS,"Torrens Terrace Wellington",-41.2987,174.7739,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,31,30.7,34.5,51.9,0.3131,0.3516,0.5295,20160129_022029_WNHS_20,WNHS,"Wellington High School",-41.30077798,174.775514045,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,32,30.9,47.6,79.6,0.3151,0.4854,0.8113,20160129_022036_BOWS_20,BOWS,"Bowen St Turnbull House Wellington",-41.279193,174.776323,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,32,11.1,16.1,23.9,0.1136,0.1643,0.2442,20160129_022036_TEPS_20,TEPS,"Wellington Te Papa Museum",-41.290587759,174.781064157,111
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,32,19.6,39.8,40.7,0.1994,0.4060,0.4145,20160129_022036_VUWS_20,VUWS,"Victoria University Law School",-41.279854,174.778399,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,32,13.5,18.9,20.3,0.1373,0.1925,0.2069,20160129_022036_WEMS_20,WEMS,"Wellington Emergency Management Office",-41.27428738,174.779264202,31
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,33,14.4,30.1,48.9,0.1468,0.3065,0.4983,20160129_022036_PIPS_20,PIPS,"Aotea Quay Pipitea",-41.267486611,174.786068248,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,34,19.8,42.0,36.5,0.2015,0.4280,0.3722,20160129_022036_WNAS_20,WNAS,"Wellington International Airport",-41.326408649,174.809034364,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,35,22.4,26.5,38.2,0.2284,0.2704,0.3891,20160129_022031_MISS_20,MISS,"Wellington Miramar School",-41.314888406,174.818434531,8
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,36,70.0,44.7,48.1,0.7141,0.4560,0.4901,20160129_022030_SEAS_20,SEAS,"Seatoun School Wellington",-41.326447,174.837638,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,37,11.2,19.9,12.9,0.1146,0.2025,0.1318,20160129_022030_NEWS_20,NEWS,"Newlands",-41.23204,174.82178,218
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,40,52.0,49.7,49.9,0.5305,0.5069,0.5084,20160129_022030_SOMS_20,SOMS,"Somes Island",-41.25746,174.865,48
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,41,16.5,13.4,19.7,0.1684,0.1363,0.2007,20160129_022030_PTOS_20,PTOS,"Petone Overbridge",-41.222973,174.860302,9999
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,42,16.3,18.0,19.8,0.1667,0.1833,0.2020,20160129_022038_PVCS_20,PVCS,"Petone Victoria Street",-41.22474608,174.87391737,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,42,37.4,55.4,58.6,0.3812,0.5648,0.5978,20160129_022030_EBPS_20,EBPS,"Eastbourne Police Station",-41.289428012,174.900235673,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,42,6.5,12.7,15.1,0.0664,0.1299,0.1544,20160129_022038_PGMS_20,PGMS,"Petone Municipal Building",-41.224506474,174.879435677,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,43,10.2,19.1,14.8,0.1038,0.1949,0.1509,20160129_022038_LHUS_20,LHUS,"Lower Hutt Unilever",-41.230846652,174.89363583,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,43,13.9,22.4,32.3,0.1416,0.2287,0.3292,20160129_022038_SEVS_21,SEVS,"Seaview",-41.246984,174.902163,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,43,8.7,13.4,9.6,0.0887,0.1368,0.0979,20160129_022033_PWES_20,PWES,"Porirua West",-41.12746,174.82586,9999
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,43,15.8,58.2,17.5,0.1607,0.5933,0.1780,20160129_022031_PHHS_20,PHHS,"Point Howard",-41.25209,174.904297,41
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,43,30.0,70.4,47.1,0.3059,0.7181,0.4806,20160129_022030_BWRS_20,BWRS,"Waikakaho Road",-41.43954404,173.90511789,75
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,44,15.0,30.9,20.7,0.1530,0.3155,0.2106,20160129_022038_POKS_20,POKS,"Katoa Kindergarten",-41.12495,174.83151,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,44,10.5,14.4,15.6,0.1073,0.1467,0.1594,20160129_022038_LRSS_20,LRSS,"Randwick School",-41.2294301,174.90424587,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,45,12.8,22.0,25.4,0.1305,0.2239,0.2594,20160129_022038_LIRS_20,LIRS,"Lower Hutt IRL",-41.23231,174.91929,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,45,6.7,20.1,20.1,0.0688,0.2048,0.2051,20160129_022031_SEDS_20,SEDS,"Seddon Fire Station",-41.67229,174.07645,90
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,46,28.0,19.6,28.1,0.2857,0.2001,0.2868,20160129_022038_WANS_20,WANS,"Wainuiomata Hill",-41.23122,174.93102,367
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,46,8.8,10.8,8.1,0.0895,0.1097,0.0826,20160129_022038_LNBS_20,LNBS,"Naenae Bowling Club",-41.20498,174.9266,0.0
